base_user,imp_user,direction,mode,modality,fusion,k,threshold,tau_eer,tn,fp,fn,tp,accuracy,precision,recall,f1,frr,far,eer
user3,user10,user3->user10,unimodal_all,,,,0.7680530548095703,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user3,user11,user3->user11,unimodal_all,,,,0.7691664099693298,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user3,user12,user3->user12,unimodal_all,,,,0.7690611481666565,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user3,user2,user3->user2,unimodal_all,,,,0.7671893835067749,0.46327972412109375,10,0,29,1,0.275,1.0,0.03333333333333333,0.06451612903225806,0.0,0.9666666666666667,0.24999999999999997
user3,user4,user3->user4,unimodal_all,,,,0.7673517465591431,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user3,user5,user3->user5,unimodal_all,,,,0.768231213092804,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user3,user6,user3->user6,unimodal_all,,,,0.766931414604187,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user3,user7,user3->user7,unimodal_all,,,,0.7695780396461487,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user3,user8,user3->user8,unimodal_all,,,,0.7675890326499939,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user3,user9,user3->user9,unimodal_all,,,,0.7680545449256897,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user4,user1,user4->user1,unimodal_all,,,,0.8373399376869202,0.9986899495124817,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user4,user10,user4->user10,unimodal_all,,,,0.8382010459899902,0.4830717146396637,10,0,30,0,0.25,0.0,0.0,0.0,0.0,1.0,0.0
user4,user11,user4->user11,unimodal_all,,,,0.8371422290802002,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user4,user12,user4->user12,unimodal_all,,,,0.8371703624725342,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user4,user2,user4->user2,unimodal_all,,,,0.8378337621688843,0.5352693796157837,10,0,29,1,0.275,1.0,0.03333333333333333,0.06451612903225806,0.0,0.9666666666666667,0.0
user4,user3,user4->user3,unimodal_all,,,,0.8371127247810364,0.5542455911636353,10,0,27,3,0.325,1.0,0.1,0.18181818181818182,0.0,0.9,0.0
user4,user5,user4->user5,unimodal_all,,,,0.8374156951904297,0.48062166571617126,10,0,30,0,0.25,0.0,0.0,0.0,0.0,1.0,0.0
