base_user,imp_user,direction,mode,modality,fusion,k,threshold,tau_eer,tn,fp,fn,tp,accuracy,precision,recall,f1,frr,far,eer
user3,user10,user3->user10,multimodal,,mean,,0.6671676635742188,1.0,8,2,0,30,0.95,0.9375,1.0,0.967741935483871,0.2,0.0,0.0
user3,user11,user3->user11,multimodal,,mean,,0.6599492430686951,0.9999280571937561,8,2,0,30,0.95,0.9375,1.0,0.967741935483871,0.2,0.0,0.0
user3,user12,user3->user12,multimodal,,mean,,0.6767905950546265,0.9991990327835083,9,1,0,30,0.975,0.967741935483871,1.0,0.9836065573770492,0.1,0.0,0.0
user3,user2,user3->user2,multimodal,,mean,,0.6755529046058655,0.5906882882118225,8,2,19,11,0.475,0.8461538461538461,0.36666666666666664,0.5116279069767441,0.2,0.6333333333333333,0.31666666666666665
user3,user4,user3->user4,multimodal,,mean,,0.642104983329773,1.0,8,2,0,30,0.95,0.9375,1.0,0.967741935483871,0.2,0.0,0.0
user3,user5,user3->user5,multimodal,,mean,,0.6574217081069946,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user3,user6,user3->user6,multimodal,,mean,,0.6781818270683289,0.9929517507553101,9,1,0,30,0.975,0.967741935483871,1.0,0.9836065573770492,0.1,0.0,0.0
user3,user7,user3->user7,multimodal,,mean,,0.6882951855659485,0.9264501333236694,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user3,user8,user3->user8,multimodal,,mean,,0.6866185069084167,0.8328527212142944,8,2,0,30,0.95,0.9375,1.0,0.967741935483871,0.2,0.0,0.0
user3,user9,user3->user9,multimodal,,mean,,0.6418555974960327,1.0,8,2,0,30,0.95,0.9375,1.0,0.967741935483871,0.2,0.0,0.0
user4,user1,user4->user1,multimodal,,mean,,0.6523198485374451,0.9034957885742188,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user4,user10,user4->user10,multimodal,,mean,,0.6697966456413269,0.6822961568832397,9,1,0,30,0.975,0.967741935483871,1.0,0.9836065573770492,0.1,0.0,0.0
user4,user11,user4->user11,multimodal,,mean,,0.6696251630783081,0.9668160676956177,9,1,0,30,0.975,0.967741935483871,1.0,0.9836065573770492,0.1,0.0,0.0
user4,user12,user4->user12,multimodal,,mean,,0.6640428304672241,0.9904284477233887,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user4,user2,user4->user2,multimodal,,mean,,0.662326991558075,0.8785395622253418,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user4,user3,user4->user3,multimodal,,mean,,0.6493744850158691,0.8884877562522888,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user4,user5,user4->user5,multimodal,,mean,,0.6914718747138977,0.6839185357093811,10,0,1,29,0.975,1.0,0.9666666666666667,0.983050847457627,0.0,0.03333333333333333,0.0
user4,user6,user4->user6,multimodal,,mean,,0.6704005002975464,0.6692208647727966,10,0,7,23,0.825,1.0,0.7666666666666667,0.8679245283018869,0.0,0.23333333333333334,0.0
user4,user7,user4->user7,multimodal,,mean,,0.7246869802474976,0.8287128806114197,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user4,user8,user4->user8,multimodal,,mean,,0.6531262993812561,0.7992722988128662,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user4,user9,user4->user9,multimodal,,mean,,0.6521616578102112,0.6845189332962036,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user5,user1,user5->user1,multimodal,,mean,,0.7470447421073914,0.8516849875450134,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user5,user10,user5->user10,multimodal,,mean,,0.739785373210907,0.49425822496414185,10,0,29,1,0.275,1.0,0.03333333333333333,0.06451612903225806,0.0,0.9666666666666667,0.43333333333333335
user5,user11,user5->user11,multimodal,,mean,,0.8012451529502869,0.9999992847442627,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user5,user12,user5->user12,multimodal,,mean,,0.7278973460197449,1.0,9,1,0,30,0.975,0.967741935483871,1.0,0.9836065573770492,0.1,0.0,0.0
user5,user2,user5->user2,multimodal,,mean,,0.7653650045394897,0.9689871072769165,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user5,user3,user5->user3,multimodal,,mean,,0.777557373046875,0.9982446432113647,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user5,user4,user5->user4,multimodal,,kofm,4,0.8774999999999995,0.75,10,0,12,18,0.7,1.0,0.6,0.7499999999999999,0.0,0.4,0.1
user5,user6,user5->user6,multimodal,,kofm,4,0.8774999999999995,0.75,10,0,28,2,0.3,1.0,0.06666666666666667,0.125,0.0,0.9333333333333333,0.05
user5,user7,user5->user7,multimodal,,mean,,0.7238291501998901,0.8318261504173279,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user5,user8,user5->user8,multimodal,,mean,,0.7418599724769592,0.9988594651222229,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
